screen_name;user_id;full_name;party;location;created_at
AchimKesslerMdB;849567328899616768;Achim Kessler;Die Linke;Frankfurt am Main, Hessen;05.04.2017 10:20:10
Achim_P;1117749912;Achim Post;SPD;Espelkamp/Berlin;24.01.2013 21:12:00
AfD;844081278;AfD;AfD;;24.09.2012 18:43:59
agnieszka_mdb;172269309;Agnieszka Brugger;B90/Die Grünen;;29.07.2010 08:37:03
Lambsdorff;149299258;Alexander Lambsdorff;FDP;Bonn, Berlin und Brüssel;28.05.2010 23:15:13
AlexanderSNeu;1182878557;Alexander Neu;Die Linke;;15.02.2013 14:53:02
AlexanderRadwan;2831760211;Alexander Radwan;CSU;Berlin;25.09.2014 12:30:02
Alice_Weidel;833398209053605888;Alice Weidel;AfD;Berlin, Deutschland;19.02.2017 19:29:51
AndreaLindholz;1446031532;Andrea Lindholz;CSU;Aschaffenburg, Berlin;21.05.2013 10:40:09
AndreasBleckMdB;910878654535749632;Andreas Bleck;AfD;Neuwied, Deutschland;21.09.2017 14:49:29
DerLenzMdB;3635730797;Andreas Lenz;CSU;;12.09.2015 22:33:12
AMattfeldt;23447001;Andreas Mattfeldt;CDU;Völkersen;09.03.2009 15:22:39
mrosek1958;2618890032;Andreas Mrosek;AfD;Dessau-Roßlau, Deutschland;11.07.2014 22:07:33
DrAndreasNick;49450039;Andreas Nick;CDU;Montabaur/Ww.;21.06.2009 22:26:05
SPDuesseldorf;30838821;Andreas Rimkus;SPD;Düsseldorf, NRW, Deutschland;13.04.2009 09:46:24
AndiScheuer;50315139;Andreas Scheuer;CSU;Passau / Berlin;24.06.2009 14:13:25
Schwarz_MdB;2226815116;Andreas Schwarz;SPD;Bamberg, Bayern;15.12.2013 09:11:12
AndreasSteier;3236928208;Andreas Steier;CDU;Trier, Deutschland;05.05.2015 20:47:57
AndrejHunko;87281380;Andrej Hunko;Die Linke;Germany;03.11.2009 21:01:21
UllmannMdB;609972369;Andrew Ullmann;FDP;Würzburg, Bavaria, Germany;16.06.2012 10:47:11
AnetteKramme;1461705757;Anette Kramme;SPD;;27.05.2013 09:29:28
A_Gloeckner;976421048;Angelika Glöckner;SPD;Südwestpfalz, Rheinland-Pfalz;28.11.2012 16:01:47
SchaeferCDU;874474169106395136;Anita Schäfer;CDU;Rheinland-Pfalz, Deutschland;13.06.2017 03:51:03
HajdukBundestag;4724923756;Anja Hajduk;B90/Die Grünen;Hamburg/Berlin, Germany;06.01.2016 13:08:22
AnjaKarliczek;2521976694;Anja Karliczek;CDU;Tecklenburg / Berlin;25.05.2014 05:42:35
anjaweisgerber;133770069;Anja Weisgerber;CSU;Schweinfurt, Kitzingen, Berlin;16.04.2010 15:43:52
anked;16557497;Anke Domscheit-Berg;Die Linke;Germany;02.10.2008 10:12:46
annachristmann;1617177360;Anna Christmann;B90/Die Grünen;Stuttgart;24.07.2013 08:14:15
ABaerbock;2179010672;Annalena Baerbock;B90/Die Grünen;Brandenburg;07.11.2013 00:04:11
AWidmannMauz;3351905747;Annette Widmann-Mauz;CDU;;30.06.2015 15:21:43
DrFriesenMdB;916324637046435840;Anton Friesen;AfD;Deutschland, Freistaat Thüringen;06.10.2017 15:29:52
ToniHofreiter;442678902;Anton Hofreiter;B90/Die Grünen;Deutscher Bundestag Berlin;21.12.2011 10:39:48
arnoklare;1028440310;Arno Klare;SPD;Mülheim & Essen-Borbeck;22.12.2012 12:46:22
Axel_Fischer;160906608;Axel Fischer;CDU;Berlin;29.06.2010 12:44:25
axelgehrke;1862781722;Axel Gehrke;AfD;Stormarn, Schleswig-Holstein;14.09.2013 05:37:38
axel_knoerig;928974816220254208;Axel Knoerig;CDU;Kirchdorf, Berlin;10.11.2017 13:17:10
AxelTroost;73990900;Axel Troost;Die Linke;;13.09.2009 22:31:38
oezoguz;83342791;Aydan Özoğuz;SPD;Hamburg;18.10.2009 11:00:10
Die_Gruenen;14553288;B90/Die Grünen;B90/Die Grünen;;27.04.2008 00:06:25
baerbelbas;19438957;Bärbel Bas;SPD;Germany;24.01.2009 09:39:46
BaerbelKofler;193629792;Bärbel Kofler;SPD;Berlin / Traunstein;22.09.2010 09:22:51
GrueneBeate;53426644;Beate Müller-Gemmeke;B90/Die Grünen;Reutlingen, Baden-Württemberg;03.07.2009 16:20:17
BeateWaRo;47049428;Beate Walter-Rosenheimer;B90/Die Grünen;München/Germering/Dachau/FFB;14.06.2009 06:48:25
Beatrix_vStorch;805308596;Beatrix von Storch;AfD;Berlin, Deutschland;05.09.2012 20:19:14
bela_bach;1150879754;Bela Bach;SPD;;05.02.2013 12:55:07
bstrasser;29540300;Benjamin Strasser;FDP;Berg;07.04.2009 20:46:18
BerndBaumannAfD;3043727333;Bernd Baumann;AfD;Hamburg, Deutschland;17.02.2015 21:57:24
BerndFabritius;493229926;Bernd Fabritius;CSU;;15.02.2012 15:43:39
reuther_bernd;930422173478608903;Bernd Reuther;FDP;Wese;14.11.2017 13:08:27
b_riexinger;849012308;Bernd Riexinger;Die Linke;;27.09.2012 10:16:15
BetMueller;2443895924;Bettina Müller;SPD;;14.04.2014 13:31:03
starkwatzinger;38228691;Bettina Stark-Watzinger;FDP;Bad Soden;06.05.2009 17:25:30
BijanDjir;960463104537657344;Bijan Djir-Sarai;FDP;Rhein-Kreis Neuss;05.02.2018 10:40:23
Birke_Bull;81394072;Birke Bull-Bischoff;Die Linke;Halle/ Saale;10.10.2009 16:50:28
BjoernSimon;93845554;Björn Simon;CDU;Obertshausen, Deutschland;01.12.2009 12:03:11
MdB_Freihold;925703909825548288;Brigitte Freihold;Die Linke;Pirmasens, Deutschland;01.11.2017 12:39:45
BriHasselmann;1131092102;Britta Haßelmann;B90/Die Grünen;Bielefeld/Berlin;29.01.2013 13:46:25
DrHollnagel;996440442819502082;Bruno Hollnagel;AfD;Stormarn, Schleswig-Holstein;03.08.2016 17:00:37
LieblingXhain;587862375;Canan Bayram;B90/Die Grünen;Berlin;22.05.2012 21:58:57
CanselK;23248102;Cansel Kiziltepe;SPD;Berlin;07.03.2009 23:27:23
CarenLay;21404382;Caren Lay;Die Linke;;20.02.2009 15:21:06
carina_konrad;874304935906729986;Carina Konrad;FDP;Rheinland-Pfalz, Deutschland;12.06.2017 16:38:35
cjcronenberg;1325126973631455232;Carl-Julius Cronenberg;FDP;Arnsberg, Deutschland;25.04.2017 09:48:14
CarstenMuellers;53945479;Carsten Müller;CDU;Braunschweig;05.07.2009 16:35:50
schneidercar;96783215;Carsten Schneider;SPD;Erfurt;14.12.2009 15:41:28
CarstenTraeger;3577737256;Carsten Träger;SPD;Fürth, Bayern;07.09.2015 14:21:51
CDU;20429858;CDU;CDU;;09.02.2009 11:43:27
cem_oezdemir;19108766;Cem Özdemir;B90/Die Grünen;Stuttgart/Berlin;17.01.2009 12:30:36
charlotte_mdb;1235523759597068288;Charlotte Schneidewind-Hartnagel;B90/Die Grünen;;05.03.2020 11:13:45
ChrisKuehn_mdb;1143130812;Chris Kühn;B90/Die Grünen;;02.02.2013 18:49:01
christianduerr;17535941;Christian Dürr;FDP;Berlin / Ganderkesee;21.11.2008 13:20:23
ChristianHirte;37642893;Christian Hirte;CDU;Tiefenort/ Berlin;04.05.2009 11:44:48
c_jung77;740178046649565184;Christian Jung;FDP;Berlin, Deutschland;07.06.2016 13:46:12
LangeMdB;328939758;Christian Lange;SPD;;04.07.2011 09:05:24
c_lindner;122104353;Christian Lindner;FDP;Berlin, Deutschland;11.03.2010 16:11:51
christ_natterer;166688802;Christian Natterer;CDU;;14.07.2010 19:37:25
CPetryMdB;64159881;Christian Petry;SPD;Saarland;09.08.2009 11:46:17
CvStetten;1334019378;Christian von Stetten;CDU;Berlin;07.04.2013 12:50:41
ChrWirthMdB;920193967937019904;Christian Wirth;AfD;Saarbrücken, Deutschland;17.10.2017 07:45:13
cad59;25980076;Christine Aschenberg-Dugnus;FDP;Strande;23.03.2009 10:24:55
ch_buchholz;426403057;Christine Buchholz;Die Linke;Berlin;02.12.2011 06:04:16
c_bernstiel;830085678063030273;Christoph Bernstiel;CDU;Halle (Saale), Deutschland;10.02.2017 16:07:02
matschie;19286748;Christoph Matschie;SPD;Jena, Deutschland;21.01.2009 13:17:21
Meyer_FDP;861992050358616064;Christoph Meyer;FDP;Berlin, Deutschland;09.05.2017 17:11:34
Neumann_AfD;760188355615293440;Christoph Neumann;AfD;Leipzig;01.08.2016 19:00:02
GruenClaudia;937403112;Claudia Müller;B90/Die Grünen;Stralsund, MV, Berlin, Welt;09.11.2012 17:39:42
CorinnaMiazga;868762469115846657;Corinna Miazga;AfD;Straubing, Deutschland;28.05.2017 09:34:48
crueffer;1524735194;Corinna Rüffer;B90/Die Grünen;Trier;17.06.2013 12:32:01
Conni_Moehring;2596171296;Cornelia Möhring;Die Linke;;30.06.2014 11:04:13
CSU;21107582;CSU;CSU;;17.02.2009 17:18:37
dieschmidt;95905207;Dagmar Schmidt;SPD;LDK;10.12.2009 13:54:30
DFoest;422569574;Daniel Föst;FDP;München;27.11.2011 12:17:53
DeRidder_MdB;2842430247;Daniela De Ridder;SPD;Grafschaft Bentheim - Emsland ;24.10.2014 07:47:43
DanielaKluckert;28327765;Daniela Kluckert;FDP;Berlin, Deutschland;02.04.2009 12:28:07
danielakolbe;516783036;Daniela Kolbe;SPD;Leipzig und Berlin;06.03.2012 18:55:58
DanyWagner_DA;874917828436078592;Daniela Wagner;B90/Die Grünen;Darmstadt, Deutschland;14.06.2017 09:14:00
DerDanyal;808400627084705792;Danyal Bayaz;B90/Die Grünen;Deutschland;12.12.2016 19:58:23
DennisRohde;18160122;Dennis Rohde;SPD;;16.12.2008 10:44:02
MuellerChemnitz;784760007275515904;Detlef Müller;SPD;;08.10.2016 14:19:00
dieLinke;44101578;Die Linke;Die Linke;;02.06.2009 11:26:35
DiePARTEI;65607107;Die PARTEI;Die PARTEI;;14.08.2009 10:25:43
DJanecek;52024480;Dieter Janecek;B90/Die Grünen;München;29.06.2009 11:02:16
Diether_Dehm;20986770;Diether Dehm;Die Linke;Germany;16.02.2009 14:00:12
dr_tiemann;4818645382;Dietlind Tiemann;CDU;;16.01.2016 17:13:42
DietmarBartsch;2320519958;Dietmar Bartsch;Die Linke;;31.01.2014 09:25:36
DHeidenblut;1083371289786634240;Dirk Heidenblut;SPD;Essen Deutschland ;15.11.2016 00:03:41
DirkSpaniel;810537151729373184;Dirk Spaniel;AfD;Stuttgart, Deutschland;18.12.2016 17:28:10
VoepelDirk;829029719941246978;Dirk Vöpel;SPD;;07.02.2017 18:11:02
DirkWieseSPD;815469233090023424;Dirk Wiese;SPD;Brilon, Deutschland;01.01.2017 08:06:30
DorisAchelwilm;4819478705;Doris Achelwilm;Die Linke;Bremen-Walle;16.01.2016 22:40:34
DoroBaer;140821364;Dorothee Bär;CSU;;06.05.2010 13:05:45
Doro_Martin;241008237;Dorothee Martin;SPD;;21.01.2011 06:56:32
FrankeEdgar;481393623;Edgar Franke;SPD;Berlin;02.02.2012 18:01:16
ekindeligoez;22125770;Ekin Deligöz;B90/Die Grünen;;27.02.2009 09:59:05
Kaiser_SPD;1425035358;Elisabeth Kaiser;SPD;;13.05.2013 09:15:33
ElsnervonGronow;4429947807;Elsner von Gronow;AfD;Soest, Deutschland;09.12.2015 20:04:49
KorkmazGT;3930477322;Elvan Korkmaz;SPD;Gütersloh, Nordrhein-Westfalen;11.10.2015 19:28:43
EnricoKomning;781747720897892352;Enrico Komning;AfD;Neubrandenburg, Deutschland;30.09.2016 06:49:16
ErhardGrundl;23601044;Erhard Grundl;B90/Die Grünen;;10.03.2009 14:54:01
edrossmann;38645930;Ernst Dieter Rossmann;SPD;Kreis Pinneberg;08.05.2009 11:17:22
Erwin_Rueddel;33071479;Erwin Rüddel;CDU;Windhagen, Kreis Neuwied;19.04.2009 00:47:55
EstherDilcher;939092636165689345;Esther Dilcher;SPD;Hofgeismar;08.12.2017 11:21:46
EvaHoegl;35846585;Eva Högl;SPD;Berlin;27.04.2009 20:14:48
MdB_Schreiber;940585440746328064;Eva-Maria Schreiber;Die Linke;Berlin, Germany;12.12.2017 14:13:39
HESommer;143882918;Evrim Sommer;Die Linke;Berlin, Deutschland;14.05.2010 17:45:21
Jacobi_AfD;944181149424898048;Fabian Jacobi;AfD;Köln;22.12.2017 12:21:42
FabioDeMasi;14784765;Fabio De Masi;Die Linke;Hamburg St. Pauli (Quiddje);15.05.2008 11:26:35
FalkoMohrs;79228932;Falko Mohrs;SPD;Germany;02.10.2009 16:57:59
fdp;39475170;FDP;FDP;;12.05.2009 10:50:27
felixschreiner;162398888;Felix Schreiner;CDU;Waldshut-Tiengen, Deutschland;03.07.2010 14:58:36
filizgreen;194535434;Filiz Polat;B90/Die Grünen;Bramsche/Berlin;24.09.2010 11:19:57
hahnflo;403735368;Florian Hahn;CSU;;02.11.2011 22:47:35
Florian_Ossner;1294532364;Florian Oßner;CSU;Velden/Landshut/Kelheim;24.03.2013 09:49:47
FlorianPost;741532130;Florian Post;SPD;München, Bayern;06.08.2012 22:00:12
FlorianPronold;19257571;Florian Pronold;SPD;Germany;20.01.2009 21:09:20
florian_toncar;17462171;Florian Toncar;FDP;Berlin, Deutschland;18.11.2008 10:55:06
FrankHeinrich;43959185;Frank Heinrich;CDU;Chemnitz;01.06.2009 20:03:31
fjunge;77928749;Frank Junge;SPD;Wismar;28.09.2009 04:52:55
Frank_Magnitz;940532615177752576;Frank Magnitz;AfD;Bremen, Deutschland;12.12.2017 10:43:44
theliberalfrank;984048002967982080;Frank Müller-Rosentritt;FDP;Chemnitz, Sachsen;11.04.2018 12:38:21
Frank_Pasemann;1490376331;Frank Pasemann;Parteilos;Mitteldeutschland;07.06.2013 13:04:39
f_schaeffler;18189342;Frank Schäffler;FDP;Ostwestfalen-Lippe;17.12.2008 14:10:38
FrankSchwabe;30050484;Frank Schwabe;SPD;;09.04.2009 19:39:53
franksitta;28087038;Frank Sitta;FDP;Sachsen-Anhalt, Deutschland;01.04.2009 11:12:09
franksteffel;26869088;Frank Steffel;CDU;Berlin, Reinickendorf;26.03.2009 22:18:19
fbrantner;32323724;Franziska Brantner;B90/Die Grünen;Heidelberg und Berlin;17.04.2009 05:48:29
FrStraetmanns;959059951523106816;Friedrich Straetmanns;Die Linke;;01.02.2018 13:44:45
fritzfelgentreu;2805274855;Fritz Felgentreu;SPD;Neukölln, Berlin;12.09.2014 09:17:05
FGuentzler;779601750789656576;Fritz Güntzler;CDU;Göttingen, Deutschland;24.09.2016 08:41:56
GabiWeberSPD;992808439;Gabi Weber;SPD;Wirges, Westerwald;06.12.2012 10:29:09
GaHeinrich;296121556;Gabriela Heinrich;SPD;Nürnberg;10.05.2011 07:17:31
GabyKatzmarek;3017602065;Gabriele Katzmarek;SPD;Rastatt, Deutschland;04.02.2015 14:00:14
G_UllrichFDP;935456332655874048;Gerald Ullrich;FDP;Thüringen, Deutschland;28.11.2017 10:32:24
GZickenheiner;1201838123841404929;Gerhard Zickenheiner;B90/Die Grünen;;03.12.2019 12:20:21
gero_storjohann;20534846;Gero Storjohann;CDU;Seth;10.02.2009 18:58:21
ttte94;1534201208;Gerold Otten;AfD;;20.06.2013 15:24:36
LoetzschMdB;24178198;Gesine Lötzsch;Die Linke;Berlin, Bundestag;13.03.2009 14:23:41
GittaConnemann;103658778;Gitta Connemann;CDU;Im hohen Norden;10.01.2010 20:30:04
AkbulutGokay;800457587510476800;Gökay Akbulut;Die Linke;Mannheim, Baden-Württemberg;24.12.2015 23:34:07
GottfriedCurio;848618993015500802;Gottfried Curio;AfD;;02.04.2017 19:31:49
GtzFrmming;809895794;Götz Frömming;AfD;Berlin, Deutschland;08.09.2012 00:53:26
GregorGysi;888289790;Gregor Gysi;Die Linke;Platz der Republik, Berlin;18.10.2012 07:20:12
guenterkrings;392312829;Günter Krings;CDU;Mönchengladbach/Berlin;16.10.2011 21:00:34
GustavHerzogMdB;857001941305634816;Gustav Herzog;SPD;Zellertal, Deutschland;25.04.2017 22:42:39
GydeJ;1530171613;Gyde Jensen;FDP;Kiel;19.06.2013 08:11:12
reinholdmdb;925657781759332353;Hagen Reinhold;FDP;Berlin, Deutschland;01.11.2017 09:36:27
hans_michelbach;824221646290616321;Hans Michelbach;CSU;Coburg, Bayern;25.01.2017 11:45:28
fuchtel;66750542;Hans-Joachim Fuchtel;CDU;Altensteig, Nordschwarzwald;18.08.2009 18:04:36
Hansjoerg_Durz;1662533040;Hansjörg Durz;CSU;Augsburg Land // Berlin;11.08.2013 13:29:37
ebner_sha;52431948;Harald Ebner;B90/Die Grünen;Germany;30.06.2009 15:56:19
HaraldWeinberg;625642009;Harald Weinberg ;Die Linke;Nürnberg I Berlin;03.07.2012 15:24:05
h_weyel;841412635270762496;Harald Weyel;AfD;;13.03.2017 22:16:19
HartmutEbbing;916950563815870464;Hartmut Ebbing;FDP;Berlin, Deutschland;08.10.2017 08:57:05
HeikeBrehmerMdB;150372237;Heike Brehmer;CDU;Harz;31.05.2010 19:34:09
HeikeHaensel;332264734;Heike Hänsel;Die Linke;Berlin;09.07.2011 14:08:58
HeikoMaas;24158261;Heiko Maas;SPD;Saarlouis/Berlin;13.03.2009 11:37:00
Heiko_Wildberg;3183992596;Heiko Wildberg;AfD;Südpfalz;19.04.2015 17:46:38
HBraun;19108071;Helge Braun;CDU;Berlin und Gießen;17.01.2009 11:45:46
helgelindh;454981027;Helge Lindh;SPD;Wuppertal, Nordrhein-Westfalen;04.01.2012 16:12:00
HHirte;1513671236;Heribert Hirte;CDU;Köln am Rhein;13.06.2013 15:15:09
groehe;94363834;Hermann Gröhe;CDU;Berlin;03.12.2009 16:38:02
solms;16325209;Hermann Otto Solms;FDP;Lich, Berlin;17.09.2008 07:49:56
HildeMattheis;115614153;Hilde Mattheis;SPD;Ulm;19.02.2010 08:25:12
HiltrudLotze;38272947;Hiltrud Lotze;SPD;;06.05.2009 20:49:41
hubertus_heil;15943222;Hubertus Heil;SPD;Peine, Gifhorn, Berlin;22.08.2008 10:14:26
ZdebelHubertus;4557858142;Hubertus Zdebel;Die Linke;Münster, Nordrhein-Westfalen;21.12.2015 14:30:15
Ingmar_Jung;23296367;Ingmar Jung;CDU;;08.03.2009 10:47:11
Ingrid_Nestle;44359035;Ingrid Nestle;B90/Die Grünen;Berlin & Elmshorn;03.06.2009 13:34:51
IreneMihalic;143000381;Irene Mihalic;B90/Die Grünen;Gelsenkirchen / Berlin;12.05.2010 09:15:53
IsabelMackensen;2322165327;Isabel Mackensen;SPD;;03.02.2014 16:32:32
jankortemdb;4164673821;Jan Korte;Die Linke;;11.11.2015 15:38:47
JanMetzler;995653004;Jan Metzler;CDU;Dittelsheim-Heßloch;07.12.2012 18:54:37
Jan_Nolte_AfD;3408940048;Jan Nolte;AfD;Waldeck, Deutschland;08.08.2015 17:13:12
JanaSchimke;728990858;Jana Schimke;CDU;;31.07.2012 18:48:25
JM_Luczak;22908417;Jan-Marco Luczak;CDU;Berlin;05.03.2009 11:25:35
janoschdahmen;16697497;Janosch Dahmen;B90/Die Grünen;;11.10.2008 16:28:19
jensbeeck;179216369;Jens Beeck;FDP;Lingen (Ems), Deutschland;16.08.2010 20:00:42
JBrandenburgFDP;857906951707127808;Jens Brandenburg;FDP;Rhein-Neckar-Kreis, Baden-Württemberg;28.04.2017 10:38:51
JensKoeppen;146376562;Jens Koeppen;CDU;Berlin, Barnim, Uckermark;21.05.2010 08:20:13
JensMaierAfD;916639458409242624;Jens Maier;AfD;Dresden, Sachsen;07.10.2017 12:20:52
jensspahn;299650387;Jens Spahn;CDU;Berlin;16.05.2011 13:25:13
JensZSPD;449619355;Jens Zimmermann;SPD;Groß-Umstadt;29.12.2011 09:14:59
JoanaCotar;814970546366611457;Joana Cotar;AfD;Hessen, Deutschland;30.12.2016 23:04:54
Jochen_Haug;717077328669646849;Jochen Haug;AfD;Köln, Deutschland;04.04.2016 19:52:12
Johann_Saathoff;159217491;Johann Saathoff;SPD;Ostfriesland;24.06.2010 19:53:25
JoWadephul;389682667;Johann Wadephul;CDU;Berlin, Deutschland;12.10.2011 20:46:07
Huber_AfD;2527085323;Johannes Huber;AfD;Freising, Deutschland;27.05.2014 09:51:54
jschraps;1356753444;Johannes Schraps;SPD;Weserbergland - BXL - Berlin;16.04.2013 12:32:04
JoSteiniger;83474160;Johannes Steiniger;CDU;;18.10.2009 23:38:01
johannesvogel;15630931;Johannes Vogel;FDP;Berlin / NRW;28.07.2008 12:19:51
joerg_cezanne;1391879604;Jörg Cezanne;Die Linke;;30.04.2013 12:00:22
Schneider_AfD;719975730784956416;Jörg Schneider;AfD;Gelsenkirchen;12.04.2016 19:49:25
JoernKoenigAfD;960974630709284864;Jörn König;AfD;Berlin, Deutschland;06.02.2018 20:33:00
josefoster;28089973;Josef Oster;CDU;Koblenz, Deutschland;01.04.2009 11:40:24
josephineortleb;21618829;Josephine Ortleb;SPD;Saarland;23.02.2009 01:13:58
josip_juratovic;738731811380076544;Josip Juratovic;SPD;Gundelsheim, Deutschland;03.06.2016 13:59:23
JudithSkudelny;948958759560376320;Judith Skudelny;FDP;;04.01.2018 16:46:13
julia_verlinden;1475734592;Julia Verlinden;B90/Die Grünen;Lüneburg, Germany;01.06.2013 21:31:23
JuergenBraunAfD;917756296555892736;Jürgen Braun;AfD;Waiblingen, Deutschland;10.10.2017 14:18:46
juergenhardt;38467606;Jürgen Hardt;CDU;Remscheid, Solingen, Wuppertal;07.05.2009 16:53:05
Pohl_MdB;175071092;Jürgen Pohl;AfD;Thüringen, Deutschland;05.08.2010 15:20:12
JTrittin;485751594;Jürgen Trittin;B90/Die Grünen;Berlin/Göttingen;07.02.2012 14:54:56
JuttaKrellmann;600984834;Jutta Krellmann;Die Linke;Hameln;06.06.2012 11:44:56
KaiGehring;110368456;Kai Gehring;B90/Die Grünen;Berlin/ Essen;01.02.2010 08:55:10
kaiwegner;39999872;Kai Wegner;CDU;Germany, Berlin, Spandau;14.05.2009 14:07:45
Kai_Whittaker;2479436480;Kai Whittaker;CDU;Baden-Baden / Berlin;06.05.2014 07:39:57
KarambaDiaby;316355056;Karamba Diaby;SPD;Halle (Saale);13.06.2011 09:57:53
Karl_Lauterbach;3292982985;Karl Lauterbach;SPD;Berlin, Deutschland;21.05.2015 14:01:21
BrunnerGanzOhr;882929865535705088;Karl-Heinz Brunner;SPD;Illertissen, Deutschland;06.07.2017 11:50:58
busen_mdb;935554963639558145;Karlheinz Busen;FDP;Berlin, Deutschland;28.11.2017 17:04:19
HilseMdb;920932259347214338;Karsten Hilse;AfD;Bautzen, Deutschland;01.08.2016 18:45:37
KarstenMoering;1099159964;Karsten Möring;CDU;Köln;17.01.2013 20:08:06
katdro;15722010;Katharina Dröge;B90/Die Grünen;;04.08.2008 13:32:56
k_willkomm;958634602905718785;Katharina Kloke;FDP;;31.01.2018 09:34:34
voglerk;21287514;Kathrin Vogler;Die Linke;Emsdetten, Germany;19.02.2009 10:10:30
fdp_hessel;107806591;Katja Hessel;FDP;Nürnberg;23.01.2010 20:19:09
katjakipping;28066013;Katja Kipping;Die Linke;Dresden, Berlin;01.04.2009 06:57:45
KLeikert;467381196;Katja Leikert;CDU;;18.01.2012 12:08:59
KatjaSuding;18880634;Katja Suding;FDP;Hamburg;11.01.2009 21:36:34
GoeringEckardt;626287930;Katrin Göring-Eckardt;B90/Die Grünen;;04.07.2012 08:28:33
KatrinHelling;21267421;Katrin Helling-Plahr;FDP;Hagen;19.02.2009 02:19:12
katrin_staffler;825019912083038208;Katrin Staffler;CSU;Türkenfeld, Deutschland;27.01.2017 16:37:30
Katrin_Werner;224630872;Katrin Werner;Die Linke;Trier;09.12.2010 13:36:39
KayGottschalk1;1286011081;Kay Gottschalk;AfD;Hamburg;21.03.2013 13:39:27
KerstinGriese;39709752;Kerstin Griese;SPD;Niederberg und Ratingen;13.05.2009 07:41:00
KirstenKappert;955357684013953025;Kirsten Kappert-Gonther;B90/Die Grünen;Bremen, Deutschland;22.01.2018 08:33:16
KirstenTackmann;1294725486;Kirsten Tackmann;Die Linke;Tornow;24.03.2013 10:47:35
ernst_klaus;64994645;Klaus Ernst;Die Linke;Berlin;12.08.2009 09:54:42
KlausMindrup;845282647261761536;Klaus Mindrup;SPD;Pankow, Berlin;24.03.2017 14:34:22
